thickness,diameter,phi,k_0',Lambda,Lambda',sigma,alpha_infty
30,98,0.4783,2.4270e-09,3.4480e-04,1.3268e-04,73379,1.9621
30,100,0.4502,6.1123e-09,1.3903e-04,1.4519e-03,88414,2.7063
30,102,0.5049,7.3577e-10,3.4996e-04,2.3321e-05,72525,1.5707
40,98,0.8890,2.6182e-09,3.3761e-04,1.7053e-03,11354,1.3423
40,100,0.8105,9.4269e-09,3.0538e-04,1.7004e-03,16168,1.4240
40,102,0.5800,9.9985e-09,1.4622e-04,4.3363e-04,43231,1.8665
50,98,0.9539,6.4125e-10,1.1616e-04,1.4088e-03,13108,1.0887
50,100,0.7503,9.2034e-09,2.0266e-04,1.7061e-03,16557,1.4060
50,102,0.8992,9.9997e-09,1.0337e-04,4.7250e-04,8134,1.2634
60,98,0.9987,5.7417e-09,9.6526e-05,1.5890e-03,6332,1.1188
60,100,0.8796,8.1299e-09,1.3627e-04,1.7064e-03,11348,1.0568
60,102,0.8240,1.0000e-08,2.4357e-04,4.6650e-04,15572,1.3913
